orientation,si-percentage,timestep,initdiam,xeta,force,pote,displacement,strain,contact-elliptical-area,elliptical-stress,percent-cn-1,percent-cn-2,percent-cn-3,percent-cn-4,percent-cn-5,percent-cn-6,percent-cn-7
100,0,0,99.6183320595406,109.0,0.0,-109741.493925095,0.0,0.0,0.0,0.0,0.005534015972429334,0.14418265566491037,0.055041919342545646,0.7952414090201146,,,
100,0,4000,99.6183320595406,108.6,0.0,-109740.654494047,0.04000000000000057,0.004015325209028101,0.0,0.0,0.005534015972429334,0.14418265566491037,0.055041919342545646,0.7952414090201146,,,
100,0,8000,99.6183320595406,108.2,0.570530538817195,-109722.820397356,0.07999999999999971,0.00803065041805606,40.0529107903317,2.282207006988937,0.005500878152235146,0.14414951784471616,0.05507505716273983,0.7952745468403088,,,
100,0,12000,99.6183320595406,107.8,0.788897207304904,-109757.277537227,0.12000000000000029,0.012045975627084161,58.76280644076498,2.150939086418636,0.0053683268714583956,0.14411638002452198,0.05520760844351658,0.7953076846605031,,,
100,0,16000,99.6183320595406,107.4,3.08398877605237,-109744.240180612,0.15999999999999942,0.01606130083611212,55.63928074095064,8.880583529225651,0.0053683268714583956,0.14414951784471616,0.05520760844351658,0.7952745468403088,,,
100,0,20000,99.6183320595406,107.0,4.67324790438798,-109741.891719103,0.2,0.02007662604514022,38.6114715595216,19.391557306793015,0.005335189051264208,0.14411638002452198,0.055240746263710776,0.7953076846605031,,,
100,0,24000,99.6183320595406,106.6,1.1159063790857,-109757.314755797,0.24000000000000057,0.024091951254168322,56.839373517143805,3.1454928303858827,0.00530205123107002,0.14411638002452198,0.05520760844351658,0.7953739603008914,,,
100,0,28000,99.6183320595406,106.2,0.167336851282036,-109765.209112883,0.2799999999999997,0.02810727646319628,37.13421779546953,0.7219839354536143,0.00530205123107002,0.14358617490141498,0.055737813566623585,0.7953739603008914,,,
100,0,32000,99.6183320595406,105.8,0.0,-109792.87479794,0.3200000000000003,0.03212260167222438,0.0,0.0,0.00530205123107002,0.14322165887927893,0.05600291612817709,0.795473373761474,,,
100,0,36000,99.6183320595406,105.4,0.0,-109827.89980894,0.35999999999999943,0.03613792688125234,0.0,0.0,0.0052689134108758326,0.14206183517248236,0.05633429433011897,0.7963018192663287,3.3137820194187624e-05,,
