orientation,si-percentage,timestep,initdiam,xeta,force,pote,displacement,strain,contact-elliptical-area,elliptical-stress,percent-cn-1,percent-cn-2,percent-cn-3,percent-cn-4,percent-cn-5,percent-cn-6,percent-cn-7
100,0,0,99.4246211315958,109.0,0.0,-109746.540499568,0.0,0.0,0.0,0.0,0.005401464691652583,0.14395069092355106,0.055240746263710776,0.7954070981210856,,,
100,0,4000,99.4246211315958,108.6,0.0,-109752.780253768,0.04000000000000057,0.00402314834542418,0.0,0.0,0.005401464691652583,0.14395069092355106,0.055240746263710776,0.7954070981210856,,,
100,0,8000,99.4246211315958,108.2,0.227047540899355,-109729.668646693,0.07999999999999971,0.008046296690848219,26.134652601385728,1.391907236864044,0.005401464691652583,0.14391755310335685,0.055240746263710776,0.7954402359412798,,,
100,0,12000,99.4246211315958,107.8,1.65146423312295,-109769.027741432,0.12000000000000029,0.0120694450362724,57.18689177624097,4.626823170458241,0.005335189051264208,0.14388441528316268,0.05530702190409915,0.795473373761474,,,
100,0,16000,99.4246211315958,107.4,5.01206200609984,-109752.257561684,0.15999999999999942,0.016092593381696437,40.83962202164871,19.662781042459894,0.005335189051264208,0.14391755310335685,0.05530702190409915,0.7954402359412798,,,
100,0,20000,99.4246211315958,107.0,4.95769524819549,-109755.1030581,0.2,0.020115741727120617,38.90555035368744,20.416368024003592,0.005335189051264208,0.14388441528316268,0.05530702190409915,0.795473373761474,,,
100,0,24000,99.4246211315958,106.6,1.2580254320301,-109757.147883534,0.24000000000000057,0.0241388900725448,56.12747616542546,3.591072131317129,0.00530205123107002,0.1438181396427743,0.05540643536468171,0.795473373761474,,,
100,0,28000,99.4246211315958,106.2,0.3227198654313,-109774.938937545,0.2799999999999997,0.028162038417968837,37.45771794255738,1.3803671219644975,0.00530205123107002,0.1432879345196673,0.055936640487788715,0.795473373761474,,,
100,0,32000,99.4246211315958,105.8,0.0,-109782.462143302,0.3200000000000003,0.03218518676339302,0.0,0.0,0.005235775590681645,0.1432547966994731,0.05600291612817709,0.7955065115816682,,,
100,0,36000,99.4246211315958,105.4,0.0,-109845.822662016,0.35999999999999943,0.036208335108817054,0.0,0.0,0.005235775590681645,0.14173045697054049,0.05616860522914802,0.7967657487490473,9.941346058256288e-05,,
100,0,40000,99.4246211315958,105.0,0.0,-109848.457625569,0.4,0.04023148345424123,0.0,0.0,0.005235775590681645,0.1413659409484044,0.056069191768565466,0.7970308513106008,0.000265102561553501,3.3137820194187624e-05,
100,0,44000,99.4246211315958,104.6,0.0,-109866.763614743,0.44000000000000056,0.04425463179966542,0.0,0.0,0.0051694999502932696,0.14110083838685092,0.05613546740895384,0.7973290916923484,0.000265102561553501,,
100,0,48000,99.4246211315958,104.2,0.0,-109870.977342605,0.4799999999999997,0.048277780145089454,0.0,0.0,0.005136362130099082,0.1408688736454916,0.05626801868973059,0.7973290916923484,0.0003645160221360639,3.3137820194187624e-05,
100,0,52000,99.4246211315958,103.8,0.14134900224952,-109868.620840466,0.5200000000000002,0.05230092849051363,18.34559764231844,1.2344431805575515,0.005070086489710707,0.14093514928587997,0.05626801868973059,0.7972959538721542,0.0003645160221360639,6.627564038837525e-05,
100,0,56000,99.4246211315958,103.4,0.0013245760193326,-109881.385613834,0.5599999999999994,0.056324076835937674,20.171840959701175,0.010520625819873935,0.005070086489710707,0.1408688736454916,0.05626801868973059,0.7974616429731253,0.00029824038174768865,3.3137820194187624e-05,
100,0,60000,99.4246211315958,103.0,2.09101456638699,-109873.392883236,0.6,0.060347225181361853,60.59624892977076,5.5286810868415195,0.005070086489710707,0.14067004672432648,0.05616860522914802,0.797594194253902,0.00046392948271862676,3.3137820194187624e-05,
100,0,64000,99.4246211315958,102.6,6.81026846839518,-109885.295861512,0.6400000000000006,0.06437037352678604,0.0,inf,0.005070086489710707,0.14063690890413227,0.056201743049342216,0.7976273320740962,0.00043079166252443915,3.3137820194187624e-05,
100,0,68000,99.4246211315958,102.2,12.9622027157914,-109884.551385402,0.6799999999999997,0.06839352187221007,20.40541231807572,101.77559646750747,0.005003810849322331,0.14070318454452066,0.05610232958875965,0.7976936077144845,0.00046392948271862676,3.3137820194187624e-05,
100,0,72000,99.4246211315958,101.8,9.57401604116766,-109895.295869893,0.7200000000000003,0.07241667021763426,56.07779996721,27.353531582449847,0.005003810849322331,0.14043808198296717,0.05633429433011897,0.7977267455346787,0.0004970673029128144,,
100,0,76000,99.4246211315958,101.4,13.4403027975961,-109895.831371385,0.7599999999999995,0.07643981856305829,126.83667918403468,16.977526306721412,0.005003810849322331,0.14020611724160784,0.05636743215031315,0.7978924346356496,0.000530205123107002,,
100,0,80000,99.4246211315958,101.0,22.8957687014521,-109892.011073625,0.8,0.08046296690848247,309.4464001131481,11.854411976227441,0.005003810849322331,0.14000729032044273,0.05653312125128409,0.7978261589952613,0.0006296185836895649,,
100,0,84000,99.4246211315958,100.6,21.8703521477755,-109908.538452272,0.8400000000000005,0.08448611525390666,340.7557595772327,10.28307001066917,0.004970673029128144,0.13987473903966596,0.056566259071478275,0.797958710276038,0.0006296185836895649,,
100,0,88000,99.4246211315958,100.2,29.5413393085889,-109904.704319877,0.8799999999999997,0.08850926359933069,370.1110644486141,12.78816803777263,0.004970673029128144,0.13970904993869504,0.05636743215031315,0.7981906750173974,0.0007621698644663154,,
100,0,92000,99.4246211315958,99.8,34.9488450609528,-109897.884616622,0.9200000000000003,0.09253241194475487,561.4595020049395,9.972972330938394,0.004970673029128144,0.13941080955694735,0.056433707790701525,0.7984226397587567,0.0007621698644663154,,
